phylum	taxon	total	color	D1_A	D1_B	D2_A	D2_B	D3_A	D3_B	D4_A	D4_B	D5_A	D5_B	R1_A	R1_B	R1_C	R1_D	R1_E	R1_F	R2_A	R2_B	R2_C	R2_E	R2_F	R3_A	R3_B	R3_D	R3_E	R3_F	R4_A	R4_B	R4_C	R4_D	R4_E	R4_F	R5_B	R5_C	R5_D	R5_E	R5_F	R6_A	R6_B	R6_C	R6_D	R6_E
02_Firmicutes	Veillonellaceae_unclassified	9744	deeppink4	0	0	0.008343067	0.004639295	0.013504389	0	0	0	0	0.074349442	1.870124503	0.901585372	1.077700598	0	0	0.005300541	0	0	0	0	0	0.106282475	0.082230694	0	0	0	0.014993628	0.036808009	0	0	0	0	29.231658	0.677932796	0.010459886	0.0388249	0	1.364703313	2.476409967	0	0	0
02_Firmicutes	Pediococcus	8302	mediumvioletred	0	0	0.014600367	0	0	0	0	0	0	0	1.007387508	1.306792281	0.020769391	0	0	0	0.159165752	0	0	2.166126556	17.36810512	1.665092111	1.816550796	0	0	0	4.348152035	10.76634276	0	0	0.015047399	0	0.082528679	0	0	0	0	0	0	0	0	0
02_Firmicutes	Megasphaera	7721	magenta3	0	0	0.025029201	0.00927859	0	0	0	0	0	0	1.627318283	1.023147445	0.660005077	0	0	0	0.005488474	0	0	0.017056115	0	6.900488112	7.550272856	0	0	0	4.483094685	0.622055359	0	0	0	0	0.845918957	0.019650226	0	0.051766533	0	0	0	0	0	0
02_Firmicutes	Acidaminococcus	6818	magenta1	0	0	0	0	0	0	0	0	0.010150223	3.621879979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02063217	5.718215759	6.356124263	4.057202019	33.44329249	0	0	0	0	0
02_Firmicutes	Anaeroglobus	2121	thistle	0	0	0	0	0	0	0	0	0	0	0.129152245	0.106366814	0.080769852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007361602	0	0	0	0	0.181563093	0.014737669	0	0	0	4.858343796	2.326390399	0.01158413	0	0
03_Proteobacteria	Escherichia/Shigella	2035967	yellow2	0.906254643	1.541326161	0.093859503	1.285084667	1.836596894	2.120215155	0	0.010087255	0.010150223	0.026553372	0.749083019	0.805348731	2.903099255	1.705296861	0.664601239	0.431994063	0.010976948	0.019167186	0.399660894	0.102336688	6.603081438	9.549677216	8.616780045	0.327072699	0.3122398	0.54748062	2.234050529	3.268551237	0.476255896	0.365134582	0.0050158	1.78357386	14.86341504	0.530556101	0.017433144	25.99974117	0	7.205633495	6.474757577	3.185635679	0	0.02175036
03_Proteobacteria	Enterobacteriaceae_unclassified	148057	darkgoldenrod3	0.064378745	0	0.018771901	0	0.004501463	0.099221891	0	0.005043627	0.172553796	0.122145512	19.18685747	20.43762346	4.523111716	0.013920791	0	0.00265027	0.005488474	0	0.006055468	0	0.106716468	30.47945205	28.10794648	0.014866941	0	0.004844961	0.119949022	0.618374558	0.041214453	0	0	0	21.31715771	27.53979171	25.82894599	11.71217808	0.895381715	12.59894099	7.248771579	0.492325514	0	0.00543759
03_Proteobacteria	Bilophila	55931	goldenrod2	0.103996434	0.087928002	0	0	0.054017556	0.156666144	0.43940571	0.837242145	0.243605359	0.785979819	5.264245493	6.746695031	0.844621882	0.125287116	0.119928043	0.140464327	0	0	0	0	0	0	0	0.094157292	0.10928393	0.130813953	0	0	0.16485781	0.525497743	0.020063199	0.153425708	0	0.152289251	0.237090757	0.032354083	0	0	0	0	0	0
03_Proteobacteria	Parasutterella	41761	orange2	0.435794582	0.310334126	0.262806608	1.568081652	0	0	1.221110895	2.244414183	0	0	6.514439221	3.606341488	0.828467911	0.271455419	0.539676194	0.15901622	0	0	2.567518469	2.677809995	0	0	0	0	0	0	0.254891671	0.132508834	0	0.291120815	0	0.081507408	0	0	0	0	1.539428212	0	0	0.115841297	0.247296986	0.532883826
03_Proteobacteria	Campylobacter	2774	yellow4	0.004952211	0.005172235	0	0.004639295	0	0	0	0	0	0	0.051660898	0.035455605	0.00923084	0	0.009994004	0.005300541	0	0	0	0	0	2.688552984	4.565049463	0.014866941	0	0	0	0	0	0	0	0	0.008252868	0	0	0.006470817	0	0.174682024	0.176109927	0	0	0
04_Actinobacteria	Bifidobacterium	101529	maroon	0.361511415	0.677562843	3.63966294	2.315008119	0	0	0.432122742	0.458970091	0.111652456	0.04779607	0.532107248	0.238059059	0.080769852	5.630959839	4.947031781	2.891444927	0.038419319	0	4.220661257	6.975950878	9.217634896	0.287356322	0.271610476	0.45591952	0.317443797	0.009689922	0.232401229	0.309187279	8.687090718	3.673549947	10.05667854	8.241837273	0.004126434	0.171939477	1.551549806	0.168241232	0.047125353	0	0.002174197	11.93165363	7.453416149	2.009189527
04_Actinobacteria	Collinsella	28308	red4	0.420937949	0.558601428	0	0	0	0	1.835307827	0.837242145	0	0	0	0	0.175385965	1.510405791	0.904457326	2.409095728	0	0	0	0	0	0	0	0	0	0	0	0	9.227457984	5.176029408	6.565681898	6.918540538	0	0	0	0	0	0	0	4.26875181	2.334943639	0.731355863
05_Verrucomicrobia	Akkermansia	3766575	hotpink	6.789481503	7.830764456	6.956032037	13.97819531	0	0	0.378714313	0.675846068	0.010150223	0	0	0.025325432	26.41174163	8.282870467	5.766540076	3.630870349	0.005488474	0.038334372	12.44398692	0	0.006669779	0	0.014951035	0.014866941	0.010407993	0.004844961	31.47162456	25.10674323	0.009158767	0	0.0100316	0.023972767	0.008252868	0	0.003486629	0	18.75589067	26.8136907	22.11157977	12.2675934	0.759144237	1.220738968
06_Fusobacteria	Fusobacterium	17502	red	0.004952211	0	0.027114967	0	0.004501463	0.015666614	0.002427656	0	0	0.005310674	7.01554993	5.394316973	9.579304456	0	0	0	0	0	0.544992128	0	0	0	0	0	0	0	0.614738736	1.545936396	0	0	0	0.01438366	21.96088141	0.304578503	0	0.01941245	0	6.332223375	4.933252163	0.005792065	0	0
08_Synergistetes	Pyramidobacter	12623	cyan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.48900049	19.79388616	0.115841297	0.028755464	0.02718795
11_Unclassified	Bacteria_unclassified	179388	black	3.550735403	2.544739837	0.319122309	0.282996984	0.117038037	0.093999687	0.111672169	0.121047057	0.131952903	0.042485396	0	0.010130173	0.655389657	0.932692977	2.048770738	2.038057882	0.032930845	0.196463654	0.290662468	0.102336688	0.133395585	0.027554716	0.009967357	0.084245998	0.098875937	3.168604651	1.356923308	2.355712603	0.054952603	0.101152148	0.065205397	0.038356427	0.012379302	0.073688347	0.062759318	0	0.015708451	2.76761832	2.454668	0.805097017	0.862663906	0.595416112
20_Euryarchaeota	Methanobrevibacter	5476	grey67	3.798345961	2.855073963	0	0	0	0.005222205	0.021848903	0.005043627	0	0	0	0	0.79615997	3.27834621	1.244253448	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05037322	0.041941134	0.015047399	0	0	0	0	0	0	0	0	0	0	0
